audit_id,audit_run_id,audit_date,article_url,source_file,live_status,local_status,live_selector_found,local_selector_found,live_text_length,local_text_length,live_pre_count,local_pre_count,live_image_count,local_image_count,live_table_count,local_table_count,live_iframe_count,local_iframe_count,overall_result,severity,finding_classification,summary,live_evidence_path,local_evidence_path
RHI-VIS-059,phase-8-visual-compare-2026-03-22,2026-03-22,/lag-to-riches-a-pwa-kit-developers-guide/,src/content/posts/lag-to-riches-a-pwa-kit-developers-guide/index.md,200,200,1,1,24340,24291,0,0,4,4,1,1,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-060,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-customer-migration/,src/content/posts/lets-go-live-customer-migration/index.md,200,200,1,1,4202,4185,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-061,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-ecdn/,src/content/posts/lets-go-live-ecdn/index.md,200,200,1,1,9885,9886,1,1,13,13,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-062,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-seo/,src/content/posts/lets-go-live-seo/index.md,200,200,1,1,4431,4428,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-063,phase-8-visual-compare-2026-03-22,2026-03-22,/leveraging-generic-mappings-in-sfcc/,src/content/posts/leveraging-generic-mappings-in-sfcc/index.md,200,200,1,1,5545,5540,5,4,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-064,phase-8-visual-compare-2026-03-22,2026-03-22,/life-is-about-choices/,src/content/posts/life-is-about-choices/index.md,200,200,1,1,3755,3741,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-065,phase-8-visual-compare-2026-03-22,2026-03-22,/local-vs-shared-variation-attributes-sfcc/,src/content/posts/local-vs-shared-variation-attributes-sfcc/index.md,200,200,1,1,10742,11212,2,2,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-066,phase-8-visual-compare-2026-03-22,2026-03-22,/mail-attachments-in-b2c-commerce-cloud/,src/content/posts/mail-attachments-in-b2c-commerce-cloud/index.md,200,200,1,1,22505,22157,8,8,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-067,phase-8-visual-compare-2026-03-22,2026-03-22,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,src/content/posts/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,12301,12411,8,7,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-068,phase-8-visual-compare-2026-03-22,2026-03-22,/mastering-sitemaps-in-sfcc/,src/content/posts/mastering-sitemaps-in-sfcc/index.md,200,200,1,1,8292,8163,0,0,3,3,1,1,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
