check_group,route,target_url,artifact,status,actual_outcome,notes
sitemap-url,/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/field-guide-to-custom-caches-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/slas-in-sfra-or-sitegenesis/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-sfcc-guide-to-finding-pod-numbers/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/image-ine-sfcc-dis-for-developers/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/community/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/lag-to-riches-a-pwa-kit-developers-guide/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/mastering-sitemaps-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/local-vs-shared-variation-attributes-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/sending-emails-from-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/storefront-protection-in-the-pwa-kit/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/third-party-api-caching-in-commerce-cloud/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-importance-of-origin-shielding/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/sfcc-introduction/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/uncategorized/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/should-i-use-sfra-rest-endpoints-in-a-composable-storefront/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/documentation/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/swc-and-storybook-error-failed-to-load-native-binding/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/caching-in-the-sfcc-composable-storefront/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/where-to-hook-into-an-sfra-controller/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/it-sure-has-been-quiet-on-this-blog/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/release-notes/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-latest-in-sfcc-version-24-7/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/what-is-new-in-sfcc-24-6/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/salesforce-connections-2024-and-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
